Id,SalePrice
1461,123130.0
1462,149874.86
1463,146441.6
1464,148668.73
1465,240250.86
1466,149656.73
1467,151839.03
1468,142968.88
1469,179665.96
1470,111097.91
1471,174014.58
1472,116685.08
1473,132400.25
1474,145097.0
1475,142750.94
1476,332111.4
1477,267948.78
1478,303128.93
1479,269551.54
1480,330592.09
1481,283906.71
1482,246687.2
1483,146301.4
1484,163108.31
1485,170802.54
1486,196614.1
1487,302377.69
1488,269518.2
1489,168543.6
1490,140463.82
1491,199300.12
1492,119134.62
1493,146842.07
1494,276722.29
1495,277729.19
1496,194114.92
1497,188948.7
1498,153006.5
1499,152746.12
1500,144036.67
1501,147436.27
1502,150499.2
1503,270802.77
1504,251688.81
1505,190301.96
1506,144830.83
1507,152766.65
1508,144280.75
1509,142657.08
1510,140888.2
1511,139831.2
1512,137012.77
1513,144284.25
1514,143016.62
1515,143233.75
1516,132948.5
1517,148268.62
1518,141187.75
1519,206611.85
1520,129018.7
1521,138378.45
1522,143520.07
1523,133860.25
1524,119958.5
1525,119854.16
1526,123139.0
1527,111293.85
1528,133902.62
1529,133938.0
1530,143413.72
1531,115236.76
1532,105607.25
1533,136438.75
1534,123168.05
1535,127999.68
1536,127091.75
1537,89355.55
1538,245948.61
1539,262774.27
1540,108606.04
1541,133556.0
1542,139051.33
1543,203377.7
1544,76579.04
1545,121424.65
1546,122902.55
1547,116887.75
1548,131595.0
1549,121769.04
1550,123409.1
1551,119016.14
1552,126184.75
1553,126218.85
1554,127844.61
1555,147073.0
1556,105382.38
1557,111273.54
1558,111849.74
1559,101793.4
1560,124189.55
1561,125069.37
1562,108911.63
1563,118026.82
1564,143500.62
1565,144820.0
1566,200185.13
1567,93649.33
1568,147573.75
1569,104346.91
1570,125592.68
1571,129847.25
1572,138606.12
1573,205234.21
1574,127057.94
1575,182950.16
1576,149583.48
1577,167385.94
1578,132213.0
1579,123256.58
1580,191004.61
1581,139523.33
1582,118120.99
1583,285936.83
1584,198554.24
1585,107904.19
1586,91993.83
1587,121657.33
1588,142172.7
1589,110886.86
1590,135701.0
1591,107393.16
1592,117808.08
1593,114707.53
1594,147629.04
1595,110577.29
1596,208114.79
1597,147677.25
1598,199702.21
1599,223785.67
1600,221858.68
1601,84539.11
1602,123936.75
1603,105396.83
1604,279877.23
1605,258308.44
1606,151608.38
1607,149048.5
1608,181873.43
1609,168683.6
1610,146372.72
1611,147368.4
1612,140441.72
1613,148962.05
1614,112602.74
1615,132954.2
1616,119383.62
1617,134000.75
1618,120243.24
1619,108358.55
1620,141497.51
1621,147103.8
1622,140818.6
1623,273207.41
1624,147306.65
1625,121687.66
1626,146895.31
1627,149450.48
1628,262938.19
1629,203382.83
1630,287631.73
1631,264858.2
1632,278237.47
1633,165155.27
1634,145547.05
1635,143796.73
1636,138480.73
1637,149035.9
1638,215589.63
1639,151758.58
1640,217112.42
1641,147089.25
1642,201246.57
1643,247748.89
1644,256803.21
1645,144914.02
1646,136242.08
1647,165844.26
1648,135821.2
1649,133927.05
1650,111577.83
1651,116855.75
1652,116396.75
1653,118218.25
1654,144760.83
1655,153215.45
1656,145043.33
1657,149167.0
1658,144202.0
1659,142104.6
1660,140184.45
1661,333478.31
1662,323082.04
1663,332845.15
1664,327530.7
1665,322810.53
1666,285657.51
1667,297996.12
1668,325464.8
1669,299116.85
1670,321214.2
1671,205717.24
1672,314023.63
1673,258716.28
1674,272159.2
1675,148613.44
1676,148365.44
1677,179490.03
1678,340315.48
1679,297799.1
1680,330349.03
1681,299582.54
1682,288981.39
1683,173246.2
1684,171262.65
1685,147717.02
1686,163563.62
1687,166357.17
1688,193756.01
1689,195551.86
1690,185185.32
1691,165413.89
1692,255667.62
1693,161963.44
1694,146780.95
1695,162181.45
1696,205848.71
1697,161398.1
1698,287133.69
1699,296269.63
1700,198441.24
1701,269836.87
1702,276691.08
1703,279821.71
1704,269777.1
1705,263505.43
1706,332671.33
1707,178819.27
1708,180153.87
1709,301489.22
1710,249897.94
1711,257731.68
1712,275336.52
1713,207227.79
1714,197010.48
1715,188853.74
1716,170004.1
1717,163696.76
1718,138931.3
1719,196391.99
1720,275177.9
1721,170812.92
1722,130677.1
1723,135420.48
1724,178580.46
1725,198244.03
1726,141287.48
1727,142212.15
1728,191672.15
1729,144961.13
1730,152854.75
1731,123230.83
1732,119541.49
1733,119406.0
1734,129506.58
